contract_name,hash,year_month,Match_Date,Matched_Attack_Type,Matched_Loss_Amount,predicted_label
Exactly_exp,0x3d6367de5c191204b44b8a5cf975f257472087a9aadc59b5d744ffdef33a520e,23-Aug,20230823,Access Control Flaw,,1
MEV_8c2d_exp,0x3dcb26a1f49eb4d02ca29960b4833bfb2e83d7b5d9591aed1204168944c8c9b3,23-Nov,20231112,Lack of Access Control,,1
grok_exp,0x3e9bcee951cdad84805e0c82d2a1e982e71f2ec301a1cbd344c832e0acaee813,23-Nov,20231110,Lack of Slippage Protection,,1
OlympusDao_exp,0x3ed75df83d907412af874b7998d911fdf990704da87c2b1a8cf95ca5d21504cf,22-Oct,20221021,No Input Validation,,1
SwapX_exp,0x3ee23c1585474eaa4f976313cafbc09461abb781d263547c8397788c68a00160,23-Feb,20230227,Access Control,,1
Melo_exp,0x3f1973fe56de5ecd59a815d3b14741cf48385903b0ccfe248f7f10c2765061f7,23-May,20230506,Access Control,,1
ThoreumFinance_exp,0x3fe3a1883f0ae263a260f7d3e9b462468f4f83c2c88bb89d1dee5d7d24262b51,23-Jan,20230119,Business Logic Flaw,,1
BBT_exp,0x4019890fe5a5bd527cd3b9f7ee6d94e55b331709b703317860d028745e33a8ca,24-Mar,20210516,Logic Flaw,,1
ChaingeFinance_exp,0x407e09faabf7072cd10dc86b7fa3180ccc1701f52f7fdca29464568498c30997,24-Apr,20240417,Arbitrary External Call,,1
SteamSwap_exp,0x40f3bdd0a3a8d0476ae6aa2875dc2ec60b80812e2a394b67a88260df57c65522,24-Jun,20240606,Logic Flaw,,1
MetaPoint_exp,0x41853747231dcf01017cf419e6e4aa86757e59479964bafdce0921d3e616cc67,23-Apr,20230412,Unrestricted Approval,,1
Audius_exp,0x4227bca8ed4b8915c7eec0e14ad3748a88c4371d4176e716e8007249b9980dc9,22-Jul,20220723,Storage Collision & Malicious Proposal,,0
XCarnival_exp,0x422e7b0a449deba30bfe922b5c34282efbdbf860205ff04b14fd8129c5b91433,22-Jun,20220626,Infinite Loan Vulnerability,,1
Penpiexyzio_exp,0x42b2ec27c732100dd9037c76da415e10329ea41598de453bb0c0c9ea7ce0d8e5,24-Sep,20240903,Reentrancy and Reward Manipulation,,1
Nmbplatform_exp,0x42f56d3e86fb47e1edffa59222b33b73e7407d4b5bb05e23b83cb1771790f6c1,22-Dec,20221214,Flashloan Price Manipulation,,0
MRP_exp,0x4353a6d37e95a0844f511f0ea9300ef3081130b24f0cf7a4bd1cae26ec393101,24-Jul,20240702,Reentrancy,,1
FPR_exp,0x43da4322052b045f442cdfc03bcccc797d3bba467beda501222c35d8fd0ebd81,22-Dec,20231020,Div Precision Loss,,1
Platypus03_exp,0x4425f757715e23d392cda666bc0492d9e5d5848ff89851a1821eab5ed12bb867,23-Oct,20230712,Business Logic Flaw,,1
